Partner_ID,Partner_Name,Intern_ID,Intern_Name,Intern_Assigned_To,Service_Type,Fee_Charged,Payment_Status,Country,Start_Date,End_Date,Intern_Hours,Feedback_Rating
P008,Betta Ltd.,I1082,Michelle Clark,Betta Ltd.,Cloud Migration,886,Failed,United States,2024-10-03,2025-02-23,1107.0,3.0
P008,InfinitX,I1083,Unknown,InfinitX,Cloud Migration,313,Failed,Nigeria,2025-03-31,2025-11-09,937.0,3.0
P008,TechBridge,I1084,Juan Hall,TechBridge,Growth Strategy,599,Paid,United Kingdom,2025-08-14,2025-11-04,482.5,1.0
P009,EcoTrans,I1085,Jimmy Galvan,EcoTrans,Web Dev,1212,Paid,Canada,2025-05-16,2025-10-02,379.0,4.0
P001,Green Energy,I1086,Michael Hughes,Green Energy,SEO,1080,Pending,United Kingdom,2025-03-23,2025-08-13,482.5,4.0
P001,CloudSoft,I1087,Jennifer Bennett,CloudSoft,Web Dev,290,Pending,United Kingdom,2024-03-28,2025-08-01,179.0,1.0
P007,Betta Ltd.,I1088,Sarah Molina,Betta Ltd.,Growth Strategy,779,Failed,United Kingdom,2024-05-04,2025-04-16,437.0,1.0
P002,DataCore,I1089,Shaun Martin,DataCore,Growth Strategy,1144,Pending,Nigeria,2023-11-07,2025-08-12,839.0,1.0
P004,InfinitX,I1090,Grant Evans,InfinitX,Cloud Migration,1633,Failed,Nigeria,2024-07-21,2024-08-23,482.5,3.0
P006,EcoTrans,I1091,Unknown,EcoTrans,Masterclass,362,Paid,Germany,2025-07-17,2025-09-19,13.0,3.0
P002,CloudSoft,I1092,Patricia Dyer,CloudSoft,Growth Strategy,1487,Pending,Germany,2025-01-28,2025-10-08,482.5,3.0
P005,Green Energy,I1093,Danielle Clark,Green Energy,Web Dev,1787,Failed,United Kingdom,2025-09-09,2025-11-11,1144.0,1.0
P010,InfinitX,I1094,Andrew Barnett,InfinitX,Masterclass,439,Pending,United States,2024-04-19,2025-02-04,31.0,3.0
P005,Green Energy,I1095,Joseph Shannon,Green Energy,Web Dev,1007,Failed,Canada,2025-09-09,2025-10-02,482.5,4.0
P007,TechBridge,I1096,Chad Bautista,TechBridge,Masterclass,1982,Failed,United Kingdom,2025-06-03,2025-11-10,409.0,1.0
P004,Green Energy,I1097,Roger Miller,Green Energy,Cloud Migration,1923,Failed,United Kingdom,2023-10-20,2025-10-13,164.0,1.0
P001,TechBridge,I1098,Anthony Ward,TechBridge,Analytics,1254,Pending,Germany,2024-02-02,2024-03-16,922.0,5.0
P005,InfinitX,I1099,Nathan Fisher,InfinitX,Growth Strategy,297,Pending,Nigeria,2025-02-16,2025-08-29,482.5,1.0
P007,CloudSoft,I1100,Michael Martinez,CloudSoft,Cloud Migration,1799,Failed,Germany,2024-07-09,2024-09-08,446.0,2.0
P010,EcoTrans,I1101,Kelly Smith,EcoTrans,Branding,779,Pending,Canada,2025-08-30,2025-10-06,125.0,4.0
P008,Alpha Tech,I1102,Joshua Marshall,Alpha Tech,Web Dev,1785,Paid,Nigeria,2024-05-14,2025-03-22,1027.0,3.0
P007,Alpha Tech,I1103,Desiree Allen,Alpha Tech,SEO,1555,Paid,Nigeria,2024-12-31,2025-12-06,310.0,5.0
P003,Nova Systems,I1104,Arthur Mathis,Nova Systems,Analytics,1476,Failed,United States,2025-03-02,2025-04-29,337.0,3.0
P006,CloudSoft,I1105,Jennifer Brown,CloudSoft,Growth Strategy,1967,Failed,Nigeria,2025-05-25,2025-07-06,482.5,1.0
P004,TechBridge,I1106,Cheryl Padilla,TechBridge,Social Media,696,Failed,United Kingdom,2024-02-12,2024-04-15,342.0,3.0
P003,Nova Systems,I1107,Nathaniel Little,Nova Systems,Growth Strategy,936,Paid,Germany,2025-08-18,2025-11-07,37.0,5.0
P009,CloudSoft,I1108,Thomas Murray,CloudSoft,SEO,803,Failed,United Kingdom,2024-10-06,2025-03-01,482.5,1.0
P007,Green Energy,I1109,Kara Owen,Green Energy,Social Media,422,Failed,United States,2024-01-20,2024-03-25,482.5,5.0
P007,Nova Systems,I1110,Christina Valentine,Nova Systems,Analytics,1793,Failed,Germany,2025-07-02,2025-09-30,482.5,1.0
P007,Betta Ltd.,I1111,Dean Weber,Betta Ltd.,Cloud Migration,779,Pending,Canada,2024-11-23,2025-03-29,609.0,4.0
P001,Skyline Inc.,I1112,Tony Andrews,Skyline Inc.,Masterclass,920,Failed,United States,2023-12-23,2025-09-22,482.5,2.0
P005,Nova Systems,I1113,Lisa Hernandez,Nova Systems,Analytics,1455,Pending,United States,2024-04-29,2024-10-03,482.5,5.0
P009,DataCore,I1114,Lisa Reid,DataCore,Branding,330,Failed,United States,2024-08-27,2025-06-03,115.0,5.0
P010,DataCore,I1115,John Young,DataCore,Social Media,720,Pending,United Kingdom,2024-11-07,2025-03-28,953.0,2.0
P006,Betta Ltd.,I1116,Erika King,Betta Ltd.,Analytics,958,Paid,Nigeria,2024-08-09,2025-07-29,454.0,1.0
P010,Skyline Inc.,I1117,Dawn Cherry,Skyline Inc.,Masterclass,491,Failed,Nigeria,2024-03-17,2024-06-14,482.5,4.0
P007,Nova Systems,I1118,Caitlin Thomas,Nova Systems,SEO,235,Failed,United States,2024-08-23,2025-01-19,482.5,3.0
P004,Alpha Tech,I1119,Brian Mooney,Alpha Tech,Masterclass,101,Paid,United Kingdom,2023-12-12,2025-05-01,93.0,5.0
P007,Nova Systems,I1120,Catherine Valdez,Nova Systems,Web Dev,1544,Pending,Nigeria,2023-10-21,2025-01-27,342.0,5.0
P004,Green Energy,I1121,James Hill,Green Energy,Social Media,1113,Paid,Nigeria,2024-09-01,2025-02-24,880.0,1.0
P010,DataCore,I1122,David Jones,DataCore,Social Media,315,Failed,United States,2025-03-19,2025-10-04,379.0,3.0
P004,InfinitX,I1123,Matthew Vaughan,InfinitX,Analytics,959,Pending,United States,2023-10-06,2025-06-16,339.0,3.0
P006,TechBridge,I1124,Joshua Turner,TechBridge,Cloud Migration,114,Failed,Nigeria,2024-12-05,2025-11-23,482.5,4.0
P002,DataCore,I1125,Jacob King,DataCore,Social Media,1100,Paid,Canada,2025-05-29,2025-06-21,55.0,2.0
P001,Betta Ltd.,I1126,Nicholas Higgins,Betta Ltd.,Social Media,623,Pending,Nigeria,2024-09-13,2025-10-29,482.5,2.0
P009,TechBridge,I1127,Angela Lowery,TechBridge,Cloud Migration,1898,Pending,Canada,2023-12-01,2024-12-17,47.0,4.0
P009,DataCore,I1128,Stacy Blair,DataCore,Analytics,194,Paid,Nigeria,2025-07-03,2025-12-13,906.0,2.0
P007,TechBridge,I1129,Sandra Perry,TechBridge,Cloud Migration,841,Pending,Nigeria,2025-02-24,2025-09-18,229.0,5.0
P008,Nova Systems,I1130,Adam Martinez,Nova Systems,Social Media,935,Failed,Nigeria,2025-05-01,2025-10-26,10.0,1.0
P010,Alpha Tech,I1131,Mary Anderson,Alpha Tech,Social Media,1080,Failed,United States,2024-04-01,2024-12-06,459.0,1.0
P009,Skyline Inc.,I1132,Allison Moore,Skyline Inc.,SEO,1950,Failed,Canada,2025-02-12,2025-03-27,482.5,4.0
P002,CloudSoft,I1133,Karen Valencia,CloudSoft,Social Media,1613,Paid,Germany,2024-01-06,2025-07-08,482.5,5.0
P010,CloudSoft,I1134,Laurie Stevens,CloudSoft,Analytics,1939,Failed,Nigeria,2025-08-02,2025-12-08,217.0,3.0
P007,TechBridge,I1135,Tony Rodriguez,TechBridge,Analytics,1902,Failed,Canada,2023-09-28,2023-12-25,90.0,5.0
P003,DataCore,I1136,Noah Fernandez,DataCore,SEO,411,Pending,Nigeria,2024-10-17,2025-01-06,881.0,1.0
P004,EcoTrans,I1137,Amy Fox,EcoTrans,Social Media,1865,Pending,United States,2025-07-09,2025-09-19,608.0,2.0
P009,Nova Systems,I1138,Elizabeth Thomas,Nova Systems,Cloud Migration,1326,Pending,Canada,2024-04-15,2025-03-26,482.5,3.0
P005,TechBridge,I1139,Martin Allen,TechBridge,Growth Strategy,1050,Pending,United Kingdom,2024-05-18,2025-02-28,360.0,3.0
P002,Betta Ltd.,I1140,Deborah Lewis,Betta Ltd.,SEO,743,Failed,United Kingdom,2023-11-27,2024-03-11,163.0,5.0
P003,TechBridge,I1141,Jose Anderson,TechBridge,Branding,385,Pending,United States,2025-07-26,2025-10-21,1196.0,1.0
P007,InfinitX,I1142,Melinda Gomez,InfinitX,Web Dev,1548,Pending,Germany,2023-11-03,2024-03-28,762.0,5.0
P002,Alpha Tech,I1143,Rebecca Campbell MD,Alpha Tech,Masterclass,1976,Failed,Canada,2025-01-08,2025-08-08,482.5,3.0
P005,Nova Systems,I1144,Tina Cooper,Nova Systems,Web Dev,1184,Pending,Nigeria,2023-11-29,2025-08-02,997.0,5.0
P006,Alpha Tech,I1145,Michelle Monroe,Alpha Tech,Growth Strategy,1104,Failed,United Kingdom,2025-03-12,2025-08-26,482.5,4.0
P002,Alpha Tech,I1146,Brianna Davis,Alpha Tech,Cloud Migration,229,Failed,United States,2025-01-10,2025-03-23,1059.0,4.0
P010,EcoTrans,I1147,Nathan Jones,EcoTrans,Web Dev,1883,Failed,United States,2025-03-24,2025-08-19,482.5,4.0
P008,EcoTrans,I1148,Elizabeth Johnson,EcoTrans,Masterclass,402,Failed,Canada,2023-10-11,2025-01-26,422.0,2.0
P002,Skyline Inc.,I1149,Kathleen Lynch,Skyline Inc.,SEO,1717,Failed,United Kingdom,2024-02-09,2025-10-06,482.5,1.0
P007,Betta Ltd.,I1150,Maria Russell,Betta Ltd.,Growth Strategy,102,Pending,Nigeria,2024-10-13,2025-06-28,482.5,3.0
P003,TechBridge,I1151,Erin Young,TechBridge,SEO,1500,Pending,Nigeria,2023-12-16,2025-04-01,482.5,5.0
P004,Betta Ltd.,I1152,Rachel Bailey,Betta Ltd.,Cloud Migration,152,Failed,Canada,2025-02-15,2025-08-28,1050.0,2.0
P009,Nova Systems,I1153,Mathew Gonzalez,Nova Systems,Branding,1136,Failed,Nigeria,2024-07-03,2024-11-27,482.5,5.0
P008,Nova Systems,I1154,Sean Allen MD,Nova Systems,Cloud Migration,1728,Pending,Nigeria,2025-09-16,2025-10-30,307.0,5.0
P010,CloudSoft,I1155,Beth Hanna,CloudSoft,Social Media,259,Paid,Nigeria,2024-11-18,2025-04-15,227.0,3.0
P001,CloudSoft,I1156,Unknown,CloudSoft,Growth Strategy,1990,Failed,United States,2025-04-13,2025-07-11,210.0,3.0
P004,Alpha Tech,I1157,Chad Russell,Alpha Tech,Branding,813,Failed,United Kingdom,2024-01-07,2024-06-06,317.0,3.0
P009,InfinitX,I1158,Casey Velasquez,InfinitX,Analytics,1345,Pending,Germany,2025-01-14,2025-07-05,482.5,2.0
P003,DataCore,I1159,Christopher Kelley,DataCore,Analytics,302,Failed,United States,2023-11-06,2025-01-10,108.0,4.0
P009,Nova Systems,I1160,Glenn Snyder,Nova Systems,Growth Strategy,1679,Pending,Nigeria,2025-02-21,2025-04-25,495.0,1.0
P010,Nova Systems,I1161,Samantha Arias,Nova Systems,Web Dev,521,Paid,Canada,2024-02-06,2024-03-12,163.0,4.0
P010,EcoTrans,I1162,Cynthia Hardin,EcoTrans,Analytics,1820,Failed,United Kingdom,2024-08-19,2025-10-15,347.0,3.0
P008,Skyline Inc.,I1163,Unknown,Skyline Inc.,Analytics,841,Pending,United States,2024-07-02,2024-10-28,482.5,3.0
P001,TechBridge,I1164,Nicholas Miller,TechBridge,SEO,1284,Pending,Nigeria,2023-11-02,2025-03-10,482.5,5.0
P006,TechBridge,I1165,Stephen Wood,TechBridge,Analytics,1697,Failed,Germany,2024-05-01,2025-04-09,482.5,2.0
P008,Alpha Tech,I1166,Dennis Moore,Alpha Tech,Cloud Migration,672,Failed,United Kingdom,2024-05-23,2025-03-28,917.0,1.0
P004,Skyline Inc.,I1167,Mitchell Schaefer,Skyline Inc.,Masterclass,687,Pending,Nigeria,2025-06-27,2025-10-26,950.0,3.0
P001,Betta Ltd.,I1168,Sophia Higgins,Betta Ltd.,Analytics,983,Failed,United Kingdom,2024-09-30,2025-07-04,743.0,3.0
P006,CloudSoft,I1169,Mrs. Jessica Young,CloudSoft,SEO,1485,Pending,United States,2024-10-30,2025-02-13,482.5,1.0
P002,CloudSoft,I1170,Tina Smith,CloudSoft,SEO,1691,Pending,United Kingdom,2025-04-18,2025-10-08,57.0,1.0
P003,Green Energy,I1171,Michelle Mooney,Green Energy,Growth Strategy,623,Failed,Nigeria,2023-10-10,2024-12-09,1176.0,2.0
P009,Green Energy,I1172,Dawn Howard,Green Energy,Cloud Migration,551,Failed,Canada,2025-08-15,2025-10-31,1061.0,2.0
P006,CloudSoft,I1173,Angel Mcmahon,CloudSoft,Growth Strategy,1013,Paid,United Kingdom,2024-04-23,2024-08-05,863.0,3.0
P006,Nova Systems,I1174,John Collins,Nova Systems,Branding,323,Failed,United States,2025-05-16,2025-10-03,835.0,3.0
P001,Nova Systems,I1175,Randy Wade,Nova Systems,Social Media,439,Pending,Canada,2024-09-07,2025-06-24,643.0,3.0
P009,EcoTrans,I1176,Tammy Stevens,EcoTrans,Branding,937,Pending,United States,2023-11-28,2024-10-25,41.0,4.0
P005,CloudSoft,I1177,Haley Huffman,CloudSoft,SEO,152,Failed,United States,2025-08-12,2025-12-12,1187.0,3.0
P009,Green Energy,I1178,Anthony Moore,Green Energy,Social Media,616,Pending,Canada,2024-05-17,2025-10-28,215.0,2.0
P005,Betta Ltd.,I1179,Edwin Russell,Betta Ltd.,SEO,1119,Pending,Canada,2025-06-22,2025-12-02,956.0,5.0
P003,Nova Systems,I1180,Ashley Eaton,Nova Systems,Cloud Migration,474,Paid,United Kingdom,2025-02-27,2025-11-19,482.5,2.0
P009,EcoTrans,I1181,Ms. Kimberly Young DDS,EcoTrans,Social Media,661,Failed,United States,2023-11-17,2025-11-03,482.5,5.0
P002,Nova Systems,I1182,Jason Perez,Nova Systems,SEO,518,Failed,United States,2024-06-12,2025-12-02,482.5,3.0
P004,EcoTrans,I1183,Kenneth French,EcoTrans,Web Dev,1552,Pending,Canada,2024-12-16,2025-04-13,482.5,4.0
P010,Alpha Tech,I1184,Kelly Jones,Alpha Tech,Masterclass,448,Failed,United Kingdom,2024-12-07,2025-05-20,482.5,3.0
P008,DataCore,I1185,Andrea Hill,DataCore,Web Dev,919,Pending,Canada,2024-02-22,2024-10-19,1096.0,3.0
P005,InfinitX,I1186,Dr. Shelby Smith MD,InfinitX,Branding,1897,Pending,Canada,2023-12-09,2025-06-14,40.0,4.0
P007,Green Energy,I1187,Matthew Clark,Green Energy,Masterclass,1320,Failed,Canada,2024-05-15,2025-10-06,482.5,5.0
P010,InfinitX,I1188,Herbert Jackson,InfinitX,Branding,178,Failed,United States,2024-08-19,2025-09-23,347.0,3.0
P001,Skyline Inc.,I1189,Robert Jimenez,Skyline Inc.,Social Media,981,Paid,Canada,2025-06-10,2025-08-13,482.5,1.0
P008,Alpha Tech,I1190,Benjamin Jones,Alpha Tech,Branding,1520,Failed,Canada,2025-06-18,2025-08-30,188.0,2.0
P004,Skyline Inc.,I1191,Christopher Rodriguez,Skyline Inc.,Branding,1848,Pending,Nigeria,2024-01-18,2024-08-29,482.5,1.0
P005,TechBridge,I1192,Amanda Sweeney,TechBridge,Branding,109,Paid,United States,2025-01-13,2025-11-26,441.0,3.0
P001,Nova Systems,I1193,Lisa Blackburn,Nova Systems,Masterclass,1100,Pending,Nigeria,2024-12-13,2025-09-18,375.0,1.0
P003,CloudSoft,I1194,Bonnie Barnett,CloudSoft,Analytics,677,Failed,United Kingdom,2024-07-14,2025-02-09,17.0,2.0
P010,Green Energy,I1195,David Potter,Green Energy,SEO,1928,Failed,United States,2024-09-04,2025-05-06,482.5,3.0
P009,Alpha Tech,I1196,Stephen Lewis,Alpha Tech,Web Dev,999,Pending,Nigeria,2024-11-20,2024-12-03,482.5,3.0
P007,Alpha Tech,I1197,Monica Ibarra,Alpha Tech,Masterclass,1584,Failed,United Kingdom,2024-02-22,2025-09-27,482.0,5.0
P001,CloudSoft,I1198,Adam Anderson DDS,CloudSoft,Growth Strategy,642,Paid,Nigeria,2024-08-26,2025-08-29,952.0,3.0
P002,Green Energy,I1199,Laura Simmons,Green Energy,Growth Strategy,116,Paid,Nigeria,2023-10-17,2024-02-08,482.5,1.0
P007,EcoTrans,I1200,Margaret Wood,EcoTrans,Analytics,749,Failed,Nigeria,2025-09-02,2025-09-11,482.5,1.0
